objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o78036,514,2919,3,0,0,0,0,0,0,1,1,0,0,0,0,0,true,false,true,2,,,,,
o40222,516,2663,45,0,0,0,1,0,1,16,2,0,7,0,15,0,true,false,true,2,,,,,
o46217,517,1909,14,0,0,0,1,0,0,1,10,0,1,0,1,0,true,false,true,2,,,,,
o42291,517,1210,5,0,0,0,0,0,0,0,1,0,1,0,1,1,true,false,true,2,,,,,
o34374,517,2207,9,0,0,0,0,0,2,1,5,0,0,1,0,0,true,false,true,2,,,,,
o14451,518,1943,2,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o17674,519,1497,21,0,0,0,5,0,0,1,0,0,7,0,1,0,true,false,true,2,,,,,
o12644,520,1924,3,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o58909,520,2836,34,0,0,0,7,0,2,0,18,0,2,1,1,0,true,false,true,2,,,,,
o39138,521,1121,9,0,0,0,5,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
o6306,521,1065,3,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o31092,522,1375,8,0,0,0,0,0,1,0,1,0,2,1,1,2,true,false,true,2,,,,,
o6251,523,2667,121,0,0,0,30,0,36,30,20,0,1,0,1,1,true,false,true,2,,,,,
o44190,524,2503,4,0,0,0,0,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o69521,525,2197,8,0,4,0,1,0,0,1,1,0,1,0,0,0,true,false,true,2,,,,,
o69508,525,1701,14,0,0,0,0,0,0,0,0,0,2,0,1,9,true,false,true,2,,,,,
o48007,526,2496,9,0,0,0,1,0,0,1,1,1,1,0,1,0,true,false,true,2,,,,,
o41731,527,866,3,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o9876,527,2274,39,0,0,0,0,0,0,0,5,0,32,1,0,0,true,false,true,2,,,,,
o83692,528,3623,7,0,0,0,1,0,0,1,3,0,0,0,1,0,true,false,true,2,,,,,
o8403,528,2095,6,0,0,1,0,0,0,1,0,0,1,1,0,1,true,false,true,2,,,,,
o81594,528,4041,11,0,0,1,0,0,1,1,1,0,0,1,1,0,true,false,true,2,,,,,
o91028,528,886,3,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o43323,529,2154,14,0,3,0,1,0,1,1,2,0,4,0,1,0,true,false,true,2,,,,,
o7488,529,166,1,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o83709,530,2165,10,0,0,0,1,0,0,2,1,0,2,0,1,2,true,false,true,2,,,,,
o91101,530,2214,11,0,0,0,0,0,0,5,0,0,2,1,1,2,true,false,true,2,,,,,
o45182,531,3023,10,0,0,0,1,0,0,2,1,0,4,0,0,0,true,false,true,2,,,,,
o12647,531,803,4,0,0,0,1,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o13668,532,1835,5,0,0,0,1,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
o48516,532,1253,8,0,0,0,0,0,0,0,1,0,5,0,1,0,true,false,true,2,,,,,
o88112,533,862,9,0,1,1,1,0,0,1,0,0,3,0,0,0,true,false,true,2,,,,,
o39428,533,991,40,0,0,0,1,0,1,1,0,0,37,0,0,0,true,false,true,2,,,,,
o42208,534,2773,44,0,0,0,0,0,0,0,36,0,2,1,1,0,true,false,true,2,,,,,
o9702,535,1154,7,0,0,0,0,0,0,1,0,0,2,0,1,2,true,false,true,2,,,,,
o27828,536,2764,11,1,0,0,1,0,1,1,2,0,2,1,0,0,true,false,true,2,,,,,
o79428,537,2225,5,0,0,0,1,0,0,0,1,0,0,0,1,1,true,false,true,2,,,,,
o76468,537,2069,7,0,0,0,2,0,0,1,1,0,2,1,0,0,true,false,true,2,,,,,
o65422,537,1121,9,0,0,0,2,0,0,1,0,0,3,0,1,1,true,false,true,2,,,,,
o90397,538,636,2,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o7490,539,2234,10,0,0,0,2,0,0,3,0,1,1,1,1,0,true,false,true,2,,,,,
o67594,540,833,5,0,1,0,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o40351,540,2061,18,0,0,0,0,0,1,0,11,0,3,0,0,1,true,false,true,2,,,,,
o83685,541,2416,5,0,0,0,0,0,0,0,1,0,1,0,1,1,true,false,true,2,,,,,
o79714,541,2507,4,0,0,0,0,0,1,0,1,0,1,0,0,1,true,false,true,2,,,,,
o33832,541,2378,26,0,0,4,0,0,0,18,1,0,1,0,1,0,true,false,true,2,,,,,
o89660,542,869,3,0,0,0,1,0,0,0,0,0,1,1,0,0,true,false,true,2,,,,,
