objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
o27825,25,37,123,123,123,166,166,166,166,166,343,5
o27841,43,71,234,234,234,266,266,266,266,266,385,1
o67205,43,71,234,234,234,266,266,266,266,266,385,1
o89637,60,53,218,218,218,348,348,348,348,348,381,1
o27830,61,68,261,261,261,391,391,391,391,391,380,1
o35505,66,36,123,123,123,166,166,166,166,166,428,2
o31117,81,36,123,123,123,166,166,166,166,166,428,2
o28265,88,36,123,123,123,166,166,166,166,166,392,1
o24891,89,36,123,123,123,166,166,166,166,166,428,2
o27834,96,79,539,539,539,667,649,649,649,649,433,8
o67689,100,37,123,123,123,166,166,166,166,166,343,5
o63996,105,37,123,123,123,166,166,166,166,166,343,4
o19978,106,36,123,123,123,166,166,166,166,166,428,2
o9292,109,96,316,316,316,349,632,632,632,632,914,2
o25175,112,49,123,123,123,166,166,166,166,166,428,2
o48514,115,68,231,231,231,306,433,433,433,433,914,2
o34210,121,98,300,300,300,307,309,309,309,309,381,5
o63500,124,71,234,234,234,266,266,266,266,266,385,1
o34208,130,117,346,346,339,371,371,371,371,371,424,32
o45630,130,68,231,231,231,306,433,433,433,433,914,2
o13839,131,90,299,299,299,349,478,478,478,478,914,2
o41627,132,71,234,234,234,266,266,266,266,266,386,1
o41637,132,71,234,234,234,266,266,266,266,266,385,1
o63326,139,36,123,123,123,166,166,166,166,166,428,2
o79447,139,64,208,208,208,240,242,242,242,242,519,2
o9908,141,74,224,224,161,204,232,232,247,232,551,2
o25177,144,68,235,235,235,310,442,442,442,442,758,2
o63994,147,68,231,231,231,306,433,433,433,433,914,2
o48762,147,92,674,674,674,834,816,816,816,816,470,12
o71844,148,68,208,208,153,207,207,207,207,207,534,2
o36645,149,93,346,346,346,410,845,845,845,845,879,2
o44993,152,83,365,365,365,539,504,504,504,504,943,37
o45229,155,85,272,272,272,279,281,281,281,281,677,2
o70564,160,65,208,208,208,209,211,211,211,211,343,5
o25183,165,81,575,575,575,746,715,715,715,715,430,3
o44456,167,36,123,123,123,166,166,166,166,166,428,2
o76869,167,75,243,243,243,318,489,489,489,489,867,2
o10082,169,114,362,362,362,426,799,799,799,799,891,2
o25192,170,87,263,263,263,386,823,823,823,823,1728,5
o25189,170,84,264,264,264,387,825,825,825,825,1719,4
o41609,170,125,330,330,330,362,362,362,362,362,430,3
