objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
no9778,1088,5158,53,0,0,0,3,0,14,6,17,0,5,2,4,0,true,false,true,2,,,,,
no17940,1091,6649,7,0,0,0,1,0,0,0,1,0,2,0,1,0,true,false,true,2,,,,,
no18670,1091,5287,16,0,0,0,1,0,0,1,1,1,5,1,5,1,true,false,true,2,,,,,
no91038,1092,3481,5,0,0,0,0,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
no65711,1093,4963,8,0,0,0,1,0,0,1,1,0,2,0,2,0,true,false,true,2,,,,,
no27846,1093,1732,9,1,0,0,0,0,2,1,0,0,2,0,1,0,true,false,true,2,,,,,
no85189,1094,6997,39,0,0,0,1,0,0,3,4,1,20,1,7,0,true,false,true,2,,,,,
no69844,1094,4655,28,0,0,1,0,0,1,2,1,0,4,6,11,0,true,false,true,2,,,,,
no14325,1096,5113,23,0,0,0,0,0,1,8,2,1,1,8,0,0,true,false,true,2,,,,,
no27358,1096,5391,23,1,0,0,1,0,0,2,9,1,5,0,1,1,true,false,true,2,,,,,
no42984,1096,3636,11,0,0,0,2,0,0,2,1,1,3,0,1,0,true,false,true,2,,,,,
no47156,1100,4014,7,0,0,0,1,0,0,2,2,0,1,0,0,0,true,false,true,2,,,,,
no86808,1100,1024,7,3,1,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
no71446,1100,2112,10,1,0,0,0,0,0,4,1,1,2,0,1,0,true,false,true,2,,,,,
no4255,1100,8112,46,0,0,1,1,0,2,3,3,1,27,1,3,1,true,false,true,2,,,,,
no74246,1101,4345,15,0,1,0,6,0,3,1,0,1,1,1,1,0,true,false,true,2,,,,,
no60843,1101,5746,39,0,0,0,1,0,0,1,1,1,28,5,2,0,true,false,true,2,,,,,
no71388,1103,3658,17,0,0,0,1,0,0,2,0,0,9,0,2,0,true,false,true,2,,,,,
no60841,1104,4714,20,0,3,0,0,0,1,1,3,0,9,0,1,0,true,false,true,2,,,,,
no57211,1105,1355,23,0,0,0,1,0,0,0,0,0,20,0,1,0,true,false,true,2,,,,,
no29023,1107,6398,11,1,0,0,2,0,1,2,1,1,2,0,0,0,true,false,true,2,,,,,
no39767,1108,2652,35,0,0,0,6,0,5,9,0,0,5,1,6,0,true,false,true,2,,,,,
no75559,1109,3210,8,0,0,0,2,0,2,1,0,0,2,1,0,0,true,false,true,2,,,,,
no65453,1109,1811,2,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
no10093,1110,6234,23,0,0,0,1,0,2,0,1,5,8,1,2,0,true,false,true,2,,,,,
no12611,1112,3424,7,0,0,0,0,0,1,0,1,0,3,1,1,0,true,false,true,2,,,,,
no57229,1113,4917,11,0,0,0,1,0,1,1,0,0,5,0,1,0,true,false,true,2,,,,,
no67609,1114,2295,7,0,0,0,0,0,1,0,0,0,3,0,2,0,true,false,true,2,,,,,
no36788,1115,12435,120,0,0,0,7,0,2,1,6,0,87,4,3,1,true,false,true,3,,,,,
no44458,1115,1981,3,0,0,0,0,0,1,1,0,0,1,0,0,0,true,false,true,2,,,,,
no67654,1115,2295,4,0,0,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
no36598,1116,4999,20,0,0,1,2,0,1,7,2,0,5,0,0,0,true,false,true,2,,,,,
no67058,1116,9600,14,0,0,0,2,0,1,1,1,1,3,1,3,0,true,false,true,2,,,,,
no62761,1118,4546,10,0,0,1,0,0,1,1,1,1,3,1,0,0,true,false,true,2,,,,,
no12254,1118,4004,12,0,0,0,3,0,2,1,1,0,1,0,2,0,true,false,true,2,,,,,
no90275,1118,2983,40,0,0,1,1,0,1,6,28,0,1,0,2,0,true,false,true,2,,,,,
no83757,1118,2530,15,0,0,0,6,0,1,1,0,0,2,0,1,0,true,false,true,2,,,,,
no78482,1118,2988,8,1,0,0,2,0,1,2,0,0,1,0,1,0,true,false,true,2,,,,,
no76467,1119,5153,17,1,0,0,6,0,2,4,0,1,1,0,0,0,true,false,true,2,,,,,
no14461,1119,2697,11,0,0,0,1,0,0,0,0,0,2,0,7,0,true,false,true,2,,,,,
no90809,1119,4455,7,1,0,0,0,0,0,2,1,0,1,0,2,0,true,false,true,2,,,,,
no13111,1120,3669,19,0,0,0,0,0,1,4,1,0,9,1,1,0,true,false,true,2,,,,,
no7386,1121,1765,3,0,0,0,0,0,0,1,1,0,1,0,0,0,true,false,true,2,,,,,
no32512,1121,2506,9,0,1,0,0,0,0,1,0,0,4,0,1,0,true,false,true,2,,,,,
no79500,1121,2729,11,0,0,0,2,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
no13989,1122,4808,9,0,0,0,0,0,0,4,2,1,1,1,0,0,true,false,true,2,,,,,
no85973,1123,1838,16,0,0,0,3,0,1,1,0,0,6,0,1,3,true,false,true,2,,,,,
no78060,1124,5209,16,0,0,0,1,0,2,2,1,0,7,0,1,0,true,false,true,2,,,,,
