objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
no12256,240,127,664,664,515,643,976,976,976,976,1937,5
no20469,244,69,267,267,267,331,365,365,365,365,1136,5
no19363,245,129,590,590,590,750,1356,1356,1356,1356,2453,5
no10089,246,143,682,682,532,737,856,856,856,856,2281,5
no66685,248,113,471,471,471,642,1391,1391,1391,1391,3149,5
no9790,248,116,578,578,547,773,1235,1235,1235,1235,2323,5
no24474,249,73,290,290,290,397,620,620,620,620,2031,5
no73935,249,93,413,413,413,541,889,889,889,889,2054,5
no89135,250,89,398,398,398,494,494,494,494,494,919,4
no82288,251,68,267,267,212,287,287,287,287,287,767,4
no6021,252,128,755,755,720,1076,1715,1715,1715,1715,2616,5
no83710,253,73,290,290,290,397,620,620,620,620,2031,4
no76651,254,305,1341,1341,1341,1857,2355,2355,2355,2355,5920,5
no45635,254,88,413,413,413,541,868,868,868,868,1911,5
no27832,260,129,751,751,726,1122,1216,1216,1216,1216,3184,4
no9273,263,144,534,534,534,673,907,907,907,907,2257,5
no68330,264,41,123,123,123,166,166,166,166,166,767,4
no48164,266,91,408,408,408,504,504,504,504,504,923,5
no82284,266,171,783,783,752,1010,1575,1575,1575,1575,2638,5
no78127,266,71,259,259,259,334,503,503,503,503,1482,18
no48017,269,122,836,836,836,1060,939,939,939,939,991,5
no25193,269,130,616,616,616,874,1802,1802,1802,1802,2585,13
no25190,269,124,618,618,618,876,1806,1806,1806,1806,2585,13
no88607,270,183,495,495,495,559,559,559,559,559,997,5
no6269,270,110,616,616,581,905,1504,1504,1504,1504,2341,5
no27031,271,101,366,366,366,516,501,501,501,501,1863,5
no21731,272,64,123,123,123,166,166,166,166,166,832,5
no73407,274,111,421,421,401,649,716,716,716,716,2261,5
no72209,276,56,242,242,242,306,306,306,306,306,874,4
no25196,277,134,620,620,620,878,1810,1810,1810,1810,2593,13
no79439,278,118,605,605,580,846,899,899,953,899,2713,5
no91001,278,141,692,692,692,884,1640,1640,1640,1640,2282,5
no25200,278,82,340,340,320,536,614,614,614,614,1566,13
no69314,278,154,852,852,801,1149,1589,1589,1589,1589,3865,4
no65482,279,103,439,439,439,567,1070,1070,1070,1070,1934,4
no55101,279,125,684,684,628,915,1367,1367,1367,1367,3434,4
no48167,279,64,325,325,318,480,389,389,389,389,912,4
no76868,279,133,765,765,736,1135,1620,1620,1642,1620,3097,4
no69507,283,106,693,693,693,917,1696,1696,1696,1696,1956,4
no28266,284,144,779,779,704,991,1443,1443,1443,1443,3510,4
no63987,284,98,480,480,480,619,619,619,619,619,803,5
no77428,284,41,123,123,123,166,166,166,166,166,803,5
no9941,285,145,575,575,575,844,1450,1450,1450,1450,3073,5
no44010,285,114,577,577,545,771,1227,1227,1227,1227,2324,4
no23153,286,89,396,396,396,503,713,713,713,713,1292,2
no64893,286,121,545,545,545,825,1115,1115,1115,1115,3232,4
no12240,286,135,714,714,683,941,1437,1437,1437,1437,2601,4
no83308,288,41,123,123,123,166,166,166,166,166,767,5
no78117,289,78,275,275,275,350,520,520,520,520,1478,10
no89941,289,89,320,320,320,427,597,597,597,597,1907,5
no67196,293,180,945,945,945,1201,2103,2103,2103,2103,2308,5
no90448,295,138,516,516,516,825,1047,1047,1073,1047,3365,4
no10018,297,157,840,840,813,1103,1884,1884,1884,1884,2626,5
no76899,297,116,520,520,520,789,1201,1201,1201,1201,3023,4
no42981,299,41,123,123,123,166,166,166,166,166,767,4
no90567,299,100,399,399,379,627,694,694,694,694,2268,5
no90442,300,160,720,720,677,1116,1165,1165,1165,1165,3200,5
no78398,301,125,584,584,584,776,1560,1560,1560,1560,3724,4
no70325,301,160,926,926,860,1245,1698,1698,1698,1698,3578,18
no25988,302,41,123,123,123,166,166,166,166,166,832,5
no10055,302,140,730,730,701,1002,1742,1742,1742,1742,3802,5
no42149,302,131,847,847,847,1103,1934,1934,1934,1934,2241,4
no3616,302,120,483,483,483,654,1365,1365,1365,1365,3000,4
no9777,305,137,479,479,479,735,1078,1078,1078,1078,3062,5
no60115,305,95,412,412,412,551,1276,1276,1276,1276,3874,5
no39485,307,154,813,813,785,1043,1833,1833,1833,1833,2194,14
no24189,307,88,416,416,388,593,712,712,712,712,2262,5
no48162,307,63,264,264,264,328,328,328,328,328,878,5
no9912,307,139,730,730,670,957,1586,1586,1586,1586,3476,4
no51227,308,83,308,308,308,415,585,585,585,585,1895,4
no69909,309,99,466,466,428,633,751,751,751,751,2322,5
no26954,309,91,1653,1653,1631,2929,2134,2134,2156,2134,1045,4
no44989,310,128,559,559,559,839,1130,1130,1130,1130,3210,5
no79450,310,149,756,756,665,934,1311,1311,1311,1311,2521,4
no91099,311,146,641,641,641,844,1846,1846,1846,1846,4247,5
no42519,311,94,446,446,359,466,635,635,635,635,1921,4
no26589,311,120,642,642,642,900,1610,1610,1617,1610,2244,5
